scenario_id,row_type,Substructures,TS Deck Structure,TS Prod. Facilities,Pipeline,Cert. & Permit,General Support,Total Cost Sum
45,Forecast,179533682,108774717,14035752,83945560,1042265,17511182,404843158
46,Baseline,176934383,39600202,139058103,34450273,772386,15624228,406439575
46,Forecast,184098747,41597734,145280831,36300374,818565,16631945,424728196
47,Baseline,158377721,13619375,113769006,84442503,1383615,1909393,373501613
47,Forecast,172732728,13685653,115439685,86392892,1437631,1955920,391644509
48,Baseline,116770918,47346970,121162947,38859311,1950935,3748317,329839398
48,Forecast,110932372,68653106,128177592,36916345,2828856,3560901,351069172
49,Baseline,23329551,43189803,61515475,7735359,1503035,6113103,143386326
49,Forecast,23243104,47714770,64095186,7849524,1547257,6481544,150931385
50,Baseline,45744682,114393459,51960548,46746937,426699,1861624,261133949
50,Forecast,66329789,138062846,75342795,50201609,584512,2699355,333220906
51,Baseline,80189385,23676961,88955484,96839693,1459154,5061933,296182610
51,Forecast,76179916,31963897,120089903,91997708,1969858,4808836,327010118
52,Baseline,127758659,120371387,139587518,19165187,1109164,13153013,421144928
52,Forecast,159656379,136395830,176023791,25873002,1178160,17005921,516133083
53,Baseline,159464689,113970615,137787873,67394301,1113465,10005859,489736802
53,Forecast,168060154,115026381,140676508,70182112,1145832,10363705,505454692
54,Baseline,105300781,13852048,140689390,48622663,581345,17359461,326405688
54,Forecast,109573694,15951083,156829825,49955562,565493,20231620,353107277
55,Baseline,37981554,42394260,117099718,70575808,1364288,9063933,278479561
55,Forecast,51275098,57232251,112722655,78552419,1841789,10985657,312609869
56,Baseline,171110139,59529086,135039895,79285882,1313423,12534584,458813009
56,Forecast,183482066,72354501,141693071,82596947,1302204,12774390,494203179
57,Baseline,47092731,109707808,151844886,97632184,588287,7427048,414292944
57,Forecast,50278551,120344848,158586447,99223320,585391,7471322,436489879
58,Baseline,76064547,58436637,56168473,45569669,229671,18922599,255391596
58,Forecast,75713703,58892152,58518478,46747573,236986,18882809,258991701
59,Baseline,18292468,87049595,84326757,68001391,1203936,15779680,274653827
59,Forecast,19124261,113007081,83320397,65814917,1378173,18621523,301266352
60,Baseline,199267793,17195288,48728909,25024960,1901088,19885762,312003800
60,Forecast,230721886,24933168,65139765,36286192,2756578,28834355,388671944
61,Baseline,117106949,70467027,126842014,44910061,1434226,15389141,376149418
61,Forecast,123564665,75438888,138900834,45254557,1445776,16330107,400934827
62,Baseline,57159692,42194159,54657719,79087145,357422,6252363,239708500
62,Forecast,60893653,43101228,55359379,85549765,386423,6534198,251824646
63,Baseline,199518484,41329612,79015841,88893865,1436878,7637711,417832391
63,Forecast,213213593,45632100,86362825,88030211,1441385,7808824,442488938
64,Baseline,167795352,48736657,125884357,21690465,1182930,11203607,376493368
64,Forecast,226523725,65794487,119590139,20605942,1596956,13850322,447961571
65,Baseline,82207622,13471527,32515374,35725714,1614106,1696101,167230444
65,Forecast,98718997,12797951,47147292,51409225,2340454,2459346,214873265
66,Baseline,63718120,88561612,125006984,90199362,1907595,17499579,386893252
66,Forecast,92391274,128414337,126379707,103296794,2766013,25374390,478622515
67,Baseline,192860913,63747791,155665435,9925405,1153839,3954796,427308179
67,Forecast,203756152,64885286,159616785,10498273,1194399,4062744,444013639
68,Baseline,125930301,17275149,58353805,74583757,958706,17726652,294828370
68,Forecast,133110845,22594369,78777637,91534354,1294253,17680668,344992126
69,Baseline,184120316,91721371,72235923,26257157,851690,19483090,394669547
69,Forecast,186933159,103681244,71839553,30198762,931951,19523509,413108178
70,Baseline,93345990,78299645,81396936,60766169,1950542,17189999,332949281
70,Forecast,117513564,91039083,118025557,74998762,2822670,24725119,429124755
71,Baseline,89154597,113706700,119385258,50617282,1851963,18036849,392752649
71,Forecast,90121188,115175013,120355285,51103852,1876834,18138679,396770851
72,Baseline,145014401,56321751,97238670,79077101,1799859,19234487,398686269
72,Forecast,166087653,65758362,99104257,82873801,2056521,20264923,436145517
73,Baseline,100409807,109952633,134963594,99654083,1901647,13791994,460673758
73,Forecast,111124056,124455556,142451610,97993881,2009238,14763118,492797459
74,Baseline,41941416,127331845,126193798,18383077,1302999,16331962,331485097
74,Forecast,43523256,132787385,125749091,18991263,1311245,16738392,339100632
75,Baseline,121698617,97219599,29559479,49099326,1987489,18905393,318469903
75,Forecast,127227338,101948283,31260695,48685030,1975818,19633672,330730836
76,Baseline,92142713,40532691,32261017,63246664,406450,4372463,232961998
76,Forecast,104356710,39848406,35934187,64905732,422883,4374530,249842448
77,Baseline,157583873,65304649,159915157,96509696,1862033,7041706,488217114
77,Forecast,161608302,66397096,160464782,99116554,1862050,7120334,496569118
78,Baseline,83176523,71682508,76538740,94501846,219707,16611308,342730632
78,Forecast,89059363,101566381,99467984,137027677,318575,23183400,450623380
79,Baseline,82135231,71315464,89100168,31738452,1006760,17213772,292509847
79,Forecast,85031744,73096225,97190568,31112181,1119657,17924323,305474698
80,Baseline,17173781,85957706,21165214,86390501,1762739,17667401,230117342
80,Forecast,24901982,105555644,30689560,104404759,2041129,22330362,289923436
81,Baseline,191947696,101382823,44716396,89322033,403767,2322802,430095517
81,Forecast,203490552,109612461,44391755,91194680,437383,2333288,451460119
82,Baseline,50476375,115563962,152796166,54104566,1313278,17837438,392091785
82,Forecast,56522110,167567745,197315315,78451621,1904253,21086490,522847534
83,Baseline,45915633,72858374,28213018,23892086,1781570,8570372,181231053
83,Forecast,66222311,104616715,38204012,27083568,2400021,8199578,246726205
84,Baseline,159035033,26587799,130080695,54470729,1611023,9796677,381581956
84,Forecast,214697295,26322577,138559605,51747193,2174881,12357513,445859064
85,Baseline,178767693,39711402,181852863,13484847,1532538,16578233,431927576
85,Forecast,212411610,40675669,263686651,15167139,1899853,16549816,550390738
86,Baseline,159296568,28208520,112326320,65887034,978067,19125852,385822361
86,Forecast,160572363,33476623,108945914,81560023,1156182,27732485,413443590
87,Baseline,23782211,102647902,107463379,34161443,1129841,15921516,285106292
87,Forecast,23770581,148200570,143654502,49534092,1351290,19518242,386029277
88,Baseline,65951346,26395999,130062265,17304198,1589926,8117090,249420824
88,Forecast,62653779,35634599,158363767,17333538,2146400,7711236,283843319
89,Baseline,163769020,37804191,165406011,33984499,1905095,8818138,411686954
89,Forecast,168762917,37591151,170169401,33987003,1904109,8856395,421270976
90,Baseline,61841214,24754064,185451308,8460153,476411,1498629,282481779
90,Forecast,75230992,23516361,196481101,8394033,540732,1477379,305640598
91,Baseline,32061230,73920651,128332961,53592048,1276338,4659245,293842473
91,Forecast,32774230,75954895,132961509,54894394,1285881,4769055,302639964
92,Baseline,23361936,18163847,136575726,58904155,1093960,4622597,242722221
92,Forecast,22746148,17735457,160730919,57176746,1148898,5483689,265021857
93,Baseline,162198309,105583530,95291303,56124122,1452821,18802533,439452618
93,Forecast,169775024,116744563,94850682,60794289,1626379,20051124,463842061
94,Baseline,72719814,67723010,129213348,35667888,1067829,12372657,318764546
94,Forecast,105443730,82023065,156494217,41156265,1548352,17940353,404605982
95,Baseline,142310317,19010480,32487966,16457410,395517,15491371,226153061
95,Forecast,155578434,20106168,34496715,17417913,405814,15446836,243451880
96,Baseline,109918261,127253596,186600985,61765623,1712173,2726243,489976881
96,Forecast,142269561,184517714,211205732,89560153,1960977,2752448,632266585
97,Baseline,164321376,59333209,38839291,42388792,1403974,8588639,314875281
97,Forecast,236766667,80822077,48894865,53985730,1351779,12178323,433999441
98,Baseline,86792452,13886030,56430071,41677730,1673666,11367805,211827754
98,Forecast,96267205,14691429,81823603,39977852,2426816,16483317,251670222
99,Baseline,39631015,110141425,150400362,33874646,988936,15087240,350123624
99,Forecast,39978098,111178870,156632362,34671540,1026934,15097200,358585004
100,Baseline,180849674,16679008,188917099,15949687,770641,15868404,419034513
100,Forecast,204426854,17695200,237852928,15876346,867265,16900979,493619572
